id,comp,target,fert,light,cage_rand1,cage_rand2,biomass,status,comp_treat,family_tar,family_comp
AH_242,Salvia_verticillata,Cardamine_hirsuta,high,high light,1,2,0.2972,native,inter,Brassicaceae,Lamiaceae
AH_244,Epilobium_ciliatum,Mentha_longifolia,high,high light,2,1,2.0374,native,inter,Lamiaceae,Onagraceae
AH_245,Diplotaxis_muralis,Medicago_falcata,high,high light,3,2,0.1072,native,inter,Leguminosae,Brassicaceae
AH_246,Elsholtzia_ciliata,Hieracium_pilosella,high,high light,4,3,0.113,native,inter,Compositae,Lamiaceae
AH_247,Vicia_villosa,Prunella_vulgaris,high,high light,1,4,0.2809,native,inter,Lamiaceae,Leguminosae
AH_248,Galinsoga_parviflora,Medicago_falcata,high,high light,2,2,0.0852,native,inter,Leguminosae,Compositae
AH_249,Diplotaxis_muralis,Prunella_vulgaris,high,high light,4,2,0.3955,native,inter,Lamiaceae,Brassicaceae
AH_250,Onobrychis_viciifolia,Mentha_longifolia,high,high light,1,3,0.6971,native,inter,Lamiaceae,Leguminosae
AH_251,Galinsoga_parviflora,Medicago_lupulina,high,high light,2,2,0.1673,native,inter,Leguminosae,Compositae
AH_252,Diplotaxis_muralis,Hieracium_pilosella,high,high light,3,1,0.091,native,inter,Compositae,Brassicaceae
AH_253,Galinsoga_parviflora,Prunella_vulgaris,high,high light,2,3,0.2184,native,inter,Lamiaceae,Compositae
AH_254,Epilobium_ciliatum,Medicago_falcata,high,high light,1,1,0.3409,native,inter,Leguminosae,Onagraceae
AH_255,Galinsoga_parviflora,Mentha_longifolia,high,high light,4,1,0.5819,native,inter,Lamiaceae,Compositae
AH_256,Epilobium_ciliatum,Vulpia_myuros,high,high light,3,3,1.3192,native,inter,Poaceae,Onagraceae
AH_257,Diplotaxis_muralis,Cardamine_hirsuta,low,low light,6,7,0.5926,native,inter,Brassicaceae,Brassicaceae
AH_258,Galinsoga_parviflora,Hieracium_pilosella,low,low light,5,8,0.1966,native,inter,Compositae,Compositae
AH_260,Salvia_verticillata,Prunella_vulgaris,low,low light,8,5,0.1192,native,inter,Lamiaceae,Lamiaceae
AH_261,Onobrychis_viciifolia,Medicago_falcata,low,low light,7,6,0.5387,native,inter,Leguminosae,Leguminosae
AH_262,Vicia_villosa,Medicago_lupulina,low,low light,8,6,1.5236,native,inter,Leguminosae,Leguminosae
AH_263,Epilobium_ciliatum,Epilobium_hirsutum,low,low light,6,6,0.9974,native,inter,Onagraceae,Onagraceae
AH_264,Eragrostis_minor,Vulpia_myuros,low,low light,5,8,0.4028,native,inter,Poaceae,Poaceae
AH_265,Galinsoga_parviflora,Vulpia_myuros,low,low light,6,6,0.1446,native,inter,Poaceae,Compositae
AH_266,Vicia_villosa,Hieracium_pilosella,low,low light,8,7,0.2061,native,inter,Compositae,Leguminosae
AH_267,Eragrostis_minor,Cardamine_hirsuta,low,low light,7,8,0.8116,native,inter,Brassicaceae,Poaceae
AH_268,Elsholtzia_ciliata,Cardamine_hirsuta,low,low light,5,7,0.3682,native,inter,Brassicaceae,Lamiaceae
AH_269,Galinsoga_parviflora,Cardamine_hirsuta,low,low light,6,7,0.9253,native,inter,Brassicaceae,Compositae
AH_270,Onobrychis_viciifolia,Prunella_vulgaris,low,low light,8,7,1.7395,native,inter,Lamiaceae,Leguminosae
AH_271,Eragrostis_minor,Mentha_longifolia,low,low light,7,5,0.7428,native,inter,Lamiaceae,Poaceae
AH_272,Elsholtzia_ciliata,Prunella_vulgaris,low,low light,5,5,0.3365,native,inter,Lamiaceae,Lamiaceae
AH_273,Diplotaxis_muralis,Medicago_lupulina,low,low light,8,7,0.3551,native,inter,Leguminosae,Brassicaceae
AH_274,Salvia_verticillata,Cardamine_hirsuta,low,low light,7,7,0.3964,native,inter,Brassicaceae,Lamiaceae
AH_275,Epilobium_ciliatum,Cardamine_hirsuta,low,low light,6,8,0.1506,native,inter,Brassicaceae,Onagraceae
AH_276,Epilobium_ciliatum,Mentha_longifolia,low,low light,5,8,0.5225,native,inter,Lamiaceae,Onagraceae
AH_277,Diplotaxis_muralis,Medicago_falcata,low,low light,8,5,0.249,native,inter,Leguminosae,Brassicaceae
