id,target,status,comp_treat,comp,status_comp,fert,light,biomass,root,ini_height,family_tar,family_comp
J281,Paspalum_orbiculare,native,alone,Non,alone,low,low light,1.575,0.076,9.4,Poaceae,Non
J282,Paspalum_orbiculare,native,alone,Non,alone,low,low light,2.063,0.102,15.7,Poaceae,Non
J283,Paspalum_orbiculare,native,alone,Non,alone,low,low light,1.419,0.092,17.9,Poaceae,Non
J284,Paspalum_orbiculare,native,alone,Non,alone,low,low light,2.687,0.122,10.4,Poaceae,Non
J285,Paspalum_orbiculare,native,alone,Non,alone,low,low light,1.815,0.108,14.1,Poaceae,Non
J286,Paspalum_orbiculare,native,alone,Non,alone,low,low light,0.556,0.026,10.4,Poaceae,Non
J287,Paspalum_orbiculare,native,alone,Non,alone,low,low light,2.207,0.122,13.5,Poaceae,Non
J302,Bidens_pilosa,alien,alone,Non,alone,low,low light,3.863,0.495,5.3,Compositae,Non
J303,Bidens_pilosa,alien,alone,Non,alone,low,low light,0.625,0.059,6.4,Compositae,Non
J304,Bidens_pilosa,alien,alone,Non,alone,low,low light,5.658,0.812,4,Compositae,Non
J305,Bidens_pilosa,alien,alone,Non,alone,low,low light,1.336,0.125,4.1,Compositae,Non
J306,Bidens_pilosa,alien,alone,Non,alone,low,low light,2.48,0.301,4,Compositae,Non
J307,Bidens_pilosa,alien,alone,Non,alone,low,low light,2.155,0.2,5.1,Compositae,Non
J308,Bidens_pilosa,alien,alone,Non,alone,low,low light,2.693,0.267,4.7,Compositae,Non
J323,Bidens_maximowicziana,native,alone,Non,alone,low,low light,3.266,0.251,5.8,Compositae,Non
J325,Bidens_maximowicziana,native,alone,Non,alone,low,low light,3.401,0.319,5,Compositae,Non
J326,Bidens_maximowicziana,native,alone,Non,alone,low,low light,3.968,0.288,7.9,Compositae,Non
J327,Bidens_maximowicziana,native,alone,Non,alone,low,low light,2.458,0.17,7.4,Compositae,Non
J328,Bidens_maximowicziana,native,alone,Non,alone,low,low light,2.282,0.2,6.2,Compositae,Non
J329,Bidens_maximowicziana,native,alone,Non,alone,low,low light,2.704,0.231,5.9,Compositae,Non
J344,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,19.902,2.652,8.2,Amaranthaceae,Non
J345,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,19.284,2.758,11.8,Amaranthaceae,Non
J346,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,25.025,3.947,9.9,Amaranthaceae,Non
J347,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,16.176,2.691,10.9,Amaranthaceae,Non
J348,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,17.97,3.563,11.6,Amaranthaceae,Non
J349,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,19.226,2.778,10.7,Amaranthaceae,Non
J350,Alternanthera_philoxeroides,alien,alone,Non,alone,high,high light,11.54,1.395,10.1,Amaranthaceae,Non
J365,Alternanthera_sessilis,native,alone,Non,alone,high,high light,21.11,3.659,1.6,Amaranthaceae,Non
J366,Alternanthera_sessilis,native,alone,Non,alone,high,high light,30.891,3.552,2.6,Amaranthaceae,Non
J367,Alternanthera_sessilis,native,alone,Non,alone,high,high light,23.37,3.452,2.7,Amaranthaceae,Non
J368,Alternanthera_sessilis,native,alone,Non,alone,high,high light,33.419,4.591,1.9,Amaranthaceae,Non
J369,Alternanthera_sessilis,native,alone,Non,alone,high,high light,30.4,3.915,2.3,Amaranthaceae,Non
J370,Alternanthera_sessilis,native,alone,Non,alone,high,high light,30.286,3.336,2.5,Amaranthaceae,Non
J371,Alternanthera_sessilis,native,alone,Non,alone,high,high light,19.64,2.133,2.7,Amaranthaceae,Non
J386,Solidago_canadensis,alien,alone,Non,alone,high,high light,7.176,2.356,3.6,Compositae,Non
J387,Solidago_canadensis,alien,alone,Non,alone,high,high light,6.362,1.448,4.7,Compositae,Non
J388,Solidago_canadensis,alien,alone,Non,alone,high,high light,4.938,1.534,3.7,Compositae,Non
J389,Solidago_canadensis,alien,alone,Non,alone,high,high light,5.485,1.546,2.7,Compositae,Non
J390,Solidago_canadensis,alien,alone,Non,alone,high,high light,6.268,1.6,2.6,Compositae,Non
J391,Solidago_canadensis,alien,alone,Non,alone,high,high light,3.602,1.027,2.9,Compositae,Non
J392,Solidago_canadensis,alien,alone,Non,alone,high,high light,2.602,0.726,2.8,Compositae,Non
J407,Solidago_decurrens,native,alone,Non,alone,high,high light,0.028,0.01,2.1,Compositae,Non
J408,Solidago_decurrens,native,alone,Non,alone,high,high light,0.135,0.026,4.1,Compositae,Non
J409,Solidago_decurrens,native,alone,Non,alone,high,high light,0.312,0.055,2.8,Compositae,Non
J410,Solidago_decurrens,native,alone,Non,alone,high,high light,0.57,0.255,2.8,Compositae,Non
J411,Solidago_decurrens,native,alone,Non,alone,high,high light,0.137,0.056,4,Compositae,Non
J412,Solidago_decurrens,native,alone,Non,alone,high,high light,0.357,0.194,2.2,Compositae,Non
J413,Solidago_decurrens,native,alone,Non,alone,high,high light,0.451,0.216,1.4,Compositae,Non
J428,Paspalum_notatum,alien,alone,Non,alone,high,high light,18.013,2.729,7.3,Poaceae,Non
J429,Paspalum_notatum,alien,alone,Non,alone,high,high light,23.561,2.54,8.5,Poaceae,Non
J430,Paspalum_notatum,alien,alone,Non,alone,high,high light,35.998,6.851,9.7,Poaceae,Non
J431,Paspalum_notatum,alien,alone,Non,alone,high,high light,31.136,6.458,7.5,Poaceae,Non
J432,Paspalum_notatum,alien,alone,Non,alone,high,high light,39.608,7.038,11.5,Poaceae,Non
J433,Paspalum_notatum,alien,alone,Non,alone,high,high light,23.828,3.485,6.9,Poaceae,Non
J434,Paspalum_notatum,alien,alone,Non,alone,high,high light,32.636,3.772,7.7,Poaceae,Non
J449,Paspalum_orbiculare,native,alone,Non,alone,high,high light,20.725,1.115,3.2,Poaceae,Non
J450,Paspalum_orbiculare,native,alone,Non,alone,high,high light,18.091,0.983,10.1,Poaceae,Non
J451,Paspalum_orbiculare,native,alone,Non,alone,high,high light,20.516,0.998,10.2,Poaceae,Non
J452,Paspalum_orbiculare,native,alone,Non,alone,high,high light,15.753,1.011,7.6,Poaceae,Non
J453,Paspalum_orbiculare,native,alone,Non,alone,high,high light,18.077,0.918,3.5,Poaceae,Non
J454,Paspalum_orbiculare,native,alone,Non,alone,high,high light,14.722,0.81,5.3,Poaceae,Non
J455,Paspalum_orbiculare,native,alone,Non,alone,high,high light,24.205,2.187,7.7,Poaceae,Non
J470,Bidens_pilosa,alien,alone,Non,alone,high,high light,9.125,2.725,7.8,Compositae,Non
J471,Bidens_pilosa,alien,alone,Non,alone,high,high light,37.924,6.593,8.5,Compositae,Non
J472,Bidens_pilosa,alien,alone,Non,alone,high,high light,22.596,4.822,6.1,Compositae,Non
J473,Bidens_pilosa,alien,alone,Non,alone,high,high light,34.15,5.118,9.7,Compositae,Non
J474,Bidens_pilosa,alien,alone,Non,alone,high,high light,32.211,7.415,7.8,Compositae,Non
J475,Bidens_pilosa,alien,alone,Non,alone,high,high light,30.266,7.9,4.6,Compositae,Non
J476,Bidens_pilosa,alien,alone,Non,alone,high,high light,34.371,7.609,5.6,Compositae,Non
J491,Bidens_maximowicziana,native,alone,Non,alone,high,high light,16.215,2.72,5.6,Compositae,Non
J492,Bidens_maximowicziana,native,alone,Non,alone,high,high light,21.333,1.885,6.1,Compositae,Non
J493,Bidens_maximowicziana,native,alone,Non,alone,high,high light,24.971,2.084,5.2,Compositae,Non
J494,Bidens_maximowicziana,native,alone,Non,alone,high,high light,25.882,2.243,5.2,Compositae,Non
J496,Bidens_maximowicziana,native,alone,Non,alone,high,high light,25.433,2.007,5.5,Compositae,Non
J497,Bidens_maximowicziana,native,alone,Non,alone,high,high light,13.119,1.147,4.8,Compositae,Non
J512,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,11.949,1.711,10.9,Amaranthaceae,Non
J513,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,13.983,3.035,6.7,Amaranthaceae,Non
J514,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,6.698,1.408,7.5,Amaranthaceae,Non
J515,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,18.893,3.19,11.9,Amaranthaceae,Non
J516,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,15.027,4.018,14.5,Amaranthaceae,Non
J517,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,9.193,2.135,10.7,Amaranthaceae,Non
J518,Alternanthera_philoxeroides,alien,alone,Non,alone,low,high light,10.163,1.839,11.2,Amaranthaceae,Non
J533,Alternanthera_sessilis,native,alone,Non,alone,low,high light,23.511,4.023,8.2,Amaranthaceae,Non
J534,Alternanthera_sessilis,native,alone,Non,alone,low,high light,24.332,4.709,6.6,Amaranthaceae,Non
J535,Alternanthera_sessilis,native,alone,Non,alone,low,high light,16.312,2.775,6.5,Amaranthaceae,Non
J536,Alternanthera_sessilis,native,alone,Non,alone,low,high light,19.411,2.954,5.7,Amaranthaceae,Non
J537,Alternanthera_sessilis,native,alone,Non,alone,low,high light,17.674,1.935,6.1,Amaranthaceae,Non
J538,Alternanthera_sessilis,native,alone,Non,alone,low,high light,15.54,2.398,4.9,Amaranthaceae,Non
J539,Alternanthera_sessilis,native,alone,Non,alone,low,high light,21.014,2.779,5.6,Amaranthaceae,Non
J554,Solidago_canadensis,alien,alone,Non,alone,low,high light,3.325,1.15,5.6,Compositae,Non
J555,Solidago_canadensis,alien,alone,Non,alone,low,high light,4.551,1.121,4.8,Compositae,Non
J556,Solidago_canadensis,alien,alone,Non,alone,low,high light,2.916,1.166,3.3,Compositae,Non
J557,Solidago_canadensis,alien,alone,Non,alone,low,high light,11.694,4.385,5.2,Compositae,Non
J558,Solidago_canadensis,alien,alone,Non,alone,low,high light,2.925,1.257,6.3,Compositae,Non
J559,Solidago_canadensis,alien,alone,Non,alone,low,high light,5.245,2.094,5.3,Compositae,Non
J560,Solidago_canadensis,alien,alone,Non,alone,low,high light,11.228,3.072,4.1,Compositae,Non
J575,Solidago_decurrens,native,alone,Non,alone,low,high light,0.079,0.03,3.3,Compositae,Non
J576,Solidago_decurrens,native,alone,Non,alone,low,high light,0.116,0.01,2.1,Compositae,Non
J577,Solidago_decurrens,native,alone,Non,alone,low,high light,0.11,0.01,3.1,Compositae,Non
J578,Solidago_decurrens,native,alone,Non,alone,low,high light,0.205,0.012,3.3,Compositae,Non
